Time,Emotion
2026-02-14 13:04:21,neutral
2026-02-14 13:04:21,neutral
2026-02-14 13:04:21,neutral
2026-02-14 13:04:21,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,sad
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:22,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,sad
2026-02-14 13:04:23,sad
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,neutral
2026-02-14 13:04:23,angry
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,angry
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:24,neutral
2026-02-14 13:04:25,neutral
2026-02-14 13:04:25,neutral
2026-02-14 13:04:25,neutral
2026-02-14 13:04:25,happy
2026-02-14 13:04:25,happy
2026-02-14 13:04:25,happy
2026-02-14 13:04:25,sad
2026-02-14 13:04:25,happy
2026-02-14 13:04:25,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,happy
2026-02-14 13:04:26,neutral
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,sad
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,neutral
2026-02-14 13:04:27,angry
2026-02-14 13:04:27,angry
2026-02-14 13:04:27,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,sad
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:28,angry
2026-02-14 13:04:29,sad
2026-02-14 13:04:29,sad
2026-02-14 13:04:29,sad
2026-02-14 13:04:29,angry
2026-02-14 13:04:29,angry
2026-02-14 13:04:29,angry
2026-02-14 13:04:29,sad
2026-02-14 13:04:29,angry
2026-02-14 13:04:29,sad
2026-02-14 13:04:30,angry
2026-02-14 13:04:30,angry
2026-02-14 13:04:30,sad
2026-02-14 13:04:30,angry
2026-02-14 13:04:30,neutral
2026-02-14 13:04:30,sad
2026-02-14 13:04:30,neutral
2026-02-14 13:04:30,angry
2026-02-14 13:04:30,neutral
2026-02-14 13:04:30,neutral
2026-02-14 13:04:31,neutral
2026-02-14 13:04:31,neutral
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:31,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:32,happy
2026-02-14 13:04:33,angry
2026-02-14 13:04:33,neutral
2026-02-14 13:04:33,happy
2026-02-14 13:04:33,neutral
2026-02-14 13:04:33,angry
2026-02-14 13:04:33,angry
2026-02-14 13:04:33,neutral
2026-02-14 13:04:33,neutral
2026-02-14 13:04:33,angry
2026-02-14 13:04:33,fear
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,happy
2026-02-14 13:04:34,sad
2026-02-14 13:04:34,happy
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,fear
2026-02-14 13:04:34,sad
2026-02-14 13:04:35,fear
2026-02-14 13:04:35,fear
2026-02-14 13:04:35,sad
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,angry
2026-02-14 13:04:35,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,fear
2026-02-14 13:04:36,neutral
2026-02-14 13:04:36,neutral
2026-02-14 13:04:37,neutral
2026-02-14 13:04:37,neutral
2026-02-14 13:04:37,happy
2026-02-14 13:04:37,happy
2026-02-14 13:04:37,neutral
2026-02-14 13:04:37,neutral
2026-02-14 13:04:37,neutral
2026-02-14 13:04:37,angry
2026-02-14 13:04:37,angry
2026-02-14 13:04:37,neutral
2026-02-14 13:04:38,neutral
2026-02-14 13:04:38,neutral
2026-02-14 13:04:38,fear
2026-02-14 13:04:38,neutral
2026-02-14 13:04:38,neutral
2026-02-14 13:04:38,neutral
2026-02-14 13:04:38,sad
2026-02-14 13:04:38,sad
2026-02-14 13:04:38,sad
2026-02-14 13:04:38,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:39,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,sad
2026-02-14 13:04:40,angry
2026-02-14 13:04:40,sad
2026-02-14 13:04:41,sad
2026-02-14 13:04:41,sad
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:41,neutral
2026-02-14 13:04:42,neutral
2026-02-14 13:04:42,neutral
2026-02-14 13:04:42,neutral
2026-02-14 13:04:42,sad
2026-02-14 13:04:42,sad
2026-02-14 13:04:42,angry
2026-02-14 13:04:42,angry
2026-02-14 13:04:42,fear
2026-02-14 13:04:42,fear
2026-02-14 13:04:42,fear
2026-02-14 13:04:43,fear
2026-02-14 13:04:43,fear
2026-02-14 13:04:43,fear
2026-02-14 13:04:43,angry
2026-02-14 13:04:43,neutral
2026-02-14 13:04:43,sad
2026-02-14 13:04:43,fear
2026-02-14 13:04:43,fear
2026-02-14 13:04:43,sad
2026-02-14 13:04:43,sad
2026-02-14 13:04:44,fear
2026-02-14 13:04:44,fear
2026-02-14 13:04:44,angry
2026-02-14 13:04:44,angry
2026-02-14 13:04:44,angry
2026-02-14 13:04:44,sad
2026-02-14 13:04:44,sad
2026-02-14 13:04:44,neutral
2026-02-14 13:04:44,neutral
2026-02-14 13:04:45,angry
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:45,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:46,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,sad
2026-02-14 13:04:47,neutral
2026-02-14 13:04:48,sad
2026-02-14 13:04:48,fear
2026-02-14 13:04:48,neutral
2026-02-14 13:04:48,fear
2026-02-14 13:04:48,angry
2026-02-14 13:04:48,happy
2026-02-14 13:04:48,happy
2026-02-14 13:04:48,happy
2026-02-14 13:04:48,neutral
2026-02-14 13:04:48,neutral
2026-02-14 13:04:49,sad
2026-02-14 13:04:49,sad
2026-02-14 13:04:49,sad
2026-02-14 13:04:49,neutral
2026-02-14 13:04:49,sad
2026-02-14 13:04:49,fear
2026-02-14 13:04:49,fear
2026-02-14 13:04:49,fear
2026-02-14 13:04:49,fear
2026-02-14 13:04:49,sad
2026-02-14 13:04:50,sad
2026-02-14 13:04:50,happy
2026-02-14 13:04:50,angry
2026-02-14 13:04:50,neutral
2026-02-14 13:04:50,angry
2026-02-14 13:04:50,angry
2026-02-14 13:04:50,neutral
2026-02-14 13:04:50,angry
2026-02-14 13:04:50,sad
2026-02-14 13:04:50,neutral
2026-02-14 13:04:51,sad
2026-02-14 13:04:51,sad
2026-02-14 13:04:51,sad
2026-02-14 13:04:51,neutral
2026-02-14 13:04:51,angry
2026-02-14 13:04:51,angry
2026-02-14 13:04:51,sad
2026-02-14 13:04:51,angry
2026-02-14 13:04:51,sad
2026-02-14 13:04:51,sad
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:04:52,neutral
2026-02-14 13:05:11,neutral
2026-02-14 13:05:11,neutral
2026-02-14 13:05:11,neutral
2026-02-14 13:05:12,neutral
2026-02-14 13:05:12,neutral
2026-02-14 13:05:12,neutral
2026-02-14 13:05:12,neutral
2026-02-14 13:05:12,neutral
2026-02-14 13:05:13,neutral
2026-02-14 13:05:13,neutral
2026-02-14 13:05:13,neutral
2026-02-14 13:05:13,neutral
2026-02-14 13:05:13,neutral
2026-02-14 13:05:14,neutral
2026-02-14 13:05:14,neutral
2026-02-14 13:05:14,neutral
2026-02-14 13:05:14,neutral
2026-02-14 13:05:14,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:15,neutral
2026-02-14 13:05:16,neutral
2026-02-14 13:05:16,neutral
2026-02-14 13:05:16,neutral
2026-02-14 13:05:16,neutral
2026-02-14 13:05:16,neutral
2026-02-14 13:05:17,neutral
2026-02-14 13:05:17,neutral
2026-02-14 13:05:17,neutral
2026-02-14 13:05:17,neutral
2026-02-14 13:05:17,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:18,neutral
2026-02-14 13:05:19,neutral
2026-02-14 13:05:19,neutral
2026-02-14 13:05:19,neutral
2026-02-14 13:05:19,neutral
2026-02-14 13:05:19,neutral
2026-02-14 13:05:20,neutral
2026-02-14 13:05:20,neutral
2026-02-14 13:05:20,angry
2026-02-14 13:05:20,angry
2026-02-14 13:05:20,happy
2026-02-14 13:05:20,happy
2026-02-14 13:05:21,happy
2026-02-14 13:05:21,happy
2026-02-14 13:05:21,happy
2026-02-14 13:05:21,happy
2026-02-14 13:05:21,happy
2026-02-14 13:05:22,happy
2026-02-14 13:05:22,happy
2026-02-14 13:05:22,happy
2026-02-14 13:05:22,happy
2026-02-14 13:05:22,happy
2026-02-14 13:05:22,angry
2026-02-14 13:05:23,angry
2026-02-14 13:05:23,angry
2026-02-14 13:05:23,angry
2026-02-14 13:05:23,angry
2026-02-14 13:05:23,angry
2026-02-14 13:05:23,neutral
2026-02-14 13:05:24,neutral
2026-02-14 13:05:24,neutral
2026-02-14 13:05:24,angry
2026-02-14 13:05:24,neutral
2026-02-14 13:05:24,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:25,neutral
2026-02-14 13:05:26,neutral
2026-02-14 13:05:26,neutral
2026-02-14 13:05:26,happy
2026-02-14 13:05:26,happy
2026-02-14 13:05:26,happy
2026-02-14 13:05:27,happy
2026-02-14 13:05:27,happy
2026-02-14 13:05:27,happy
2026-02-14 13:05:27,angry
2026-02-14 13:05:27,angry
2026-02-14 13:05:28,angry
2026-02-14 13:05:28,angry
2026-02-14 13:05:28,angry
2026-02-14 13:05:28,neutral
2026-02-14 13:05:28,neutral
2026-02-14 13:05:28,neutral
2026-02-14 13:05:29,neutral
2026-02-14 13:05:29,neutral
2026-02-14 13:05:29,neutral
2026-02-14 13:05:29,neutral
2026-02-14 13:05:29,angry
2026-02-14 13:05:30,angry
2026-02-14 13:05:30,neutral
2026-02-14 13:05:30,neutral
2026-02-14 13:05:30,neutral
2026-02-14 13:05:30,sad
2026-02-14 13:05:30,sad
2026-02-14 13:05:31,angry
2026-02-14 13:05:31,sad
2026-02-14 13:05:31,fear
2026-02-14 13:05:31,angry
2026-02-14 13:05:31,sad
2026-02-14 13:05:32,sad
2026-02-14 13:05:32,sad
2026-02-14 13:05:32,sad
2026-02-14 13:05:32,angry
2026-02-14 13:05:32,fear
2026-02-14 13:05:32,sad
2026-02-14 13:05:33,neutral
2026-02-14 13:05:33,neutral
2026-02-14 13:05:33,neutral
2026-02-14 13:05:33,neutral
2026-02-14 13:05:33,neutral
2026-02-14 13:05:33,neutral
2026-02-14 13:05:34,neutral
2026-02-14 13:05:34,neutral
2026-02-14 13:05:34,neutral
2026-02-14 13:05:34,neutral
2026-02-14 13:05:34,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:05:35,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:05,neutral
2026-02-14 13:15:06,neutral
2026-02-14 13:15:06,sad
2026-02-14 13:15:06,neutral
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:06,angry
2026-02-14 13:15:07,neutral
2026-02-14 13:15:07,angry
2026-02-14 13:15:07,sad
2026-02-14 13:15:07,happy
2026-02-14 13:15:07,fear
2026-02-14 13:15:07,fear
2026-02-14 13:15:07,fear
2026-02-14 13:15:07,fear
2026-02-14 13:15:07,fear
2026-02-14 13:15:07,sad
2026-02-14 13:15:07,neutral
2026-02-14 13:15:08,neutral
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:08,happy
2026-02-14 13:15:09,happy
2026-02-14 13:15:09,happy
2026-02-14 13:15:09,happy
2026-02-14 13:15:09,sad
2026-02-14 13:15:09,sad
2026-02-14 13:15:09,sad
2026-02-14 13:15:09,sad
2026-02-14 13:15:09,angry
2026-02-14 13:15:09,angry
2026-02-14 13:15:09,angry
2026-02-14 13:15:09,sad
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,surprise
2026-02-14 13:15:10,sad
2026-02-14 13:15:10,fear
2026-02-14 13:15:11,surprise
2026-02-14 13:15:11,angry
2026-02-14 13:15:11,sad
2026-02-14 13:15:11,surprise
2026-02-14 13:15:11,surprise
2026-02-14 13:15:11,surprise
2026-02-14 13:15:11,surprise
2026-02-14 13:15:11,sad
2026-02-14 13:15:11,angry
2026-02-14 13:15:11,angry
2026-02-14 13:15:12,angry
2026-02-14 13:15:12,surprise
2026-02-14 13:15:12,surprise
2026-02-14 13:15:12,surprise
2026-02-14 13:15:12,surprise
2026-02-14 13:15:12,sad
2026-02-14 13:15:12,angry
2026-02-14 13:15:12,sad
2026-02-14 13:15:12,surprise
2026-02-14 13:15:12,sad
2026-02-14 13:15:13,sad
2026-02-14 13:15:13,angry
2026-02-14 13:15:13,sad
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,fear
2026-02-14 13:15:13,sad
2026-02-14 13:15:13,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:14,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:15,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,angry
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:16,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:17,fear
2026-02-14 13:15:18,angry
2026-02-14 13:15:18,angry
2026-02-14 13:15:18,angry
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:18,happy
2026-02-14 13:15:19,neutral
2026-02-14 13:15:19,sad
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,happy
2026-02-14 13:15:19,neutral
2026-02-14 13:15:19,neutral
2026-02-14 13:15:19,fear
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,sad
2026-02-14 13:15:20,sad
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,angry
2026-02-14 13:15:20,sad
2026-02-14 13:15:20,sad
2026-02-14 13:15:21,angry
2026-02-14 13:15:21,sad
2026-02-14 13:15:21,angry
2026-02-14 13:15:21,angry
2026-02-14 13:15:21,sad
2026-02-14 13:15:21,angry
2026-02-14 13:15:21,sad
2026-02-14 13:15:21,angry
2026-02-14 13:15:21,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,angry
2026-02-14 13:15:22,sad
2026-02-14 13:15:22,angry
2026-02-14 13:15:23,sad
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,angry
2026-02-14 13:15:23,neutral
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,angry
2026-02-14 13:15:24,angry
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,neutral
2026-02-14 13:15:24,surprise
2026-02-14 13:15:24,neutral
2026-02-14 13:15:25,neutral
2026-02-14 13:15:25,angry
2026-02-14 13:15:25,surprise
2026-02-14 13:15:25,surprise
2026-02-14 13:15:25,surprise
2026-02-14 13:15:25,neutral
2026-02-14 13:15:25,neutral
2026-02-14 13:15:25,neutral
2026-02-14 13:15:25,neutral
2026-02-14 13:15:26,surprise
2026-02-14 13:15:26,surprise
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:26,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,neutral
2026-02-14 13:15:27,angry
2026-02-14 13:15:27,sad
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,surprise
2026-02-14 13:15:28,neutral
2026-02-14 13:15:28,surprise
2026-02-14 13:15:28,surprise
2026-02-14 13:15:28,surprise
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:29,neutral
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,sad
2026-02-14 13:15:30,sad
2026-02-14 13:15:30,sad
2026-02-14 13:15:30,sad
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,surprise
2026-02-14 13:15:30,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,surprise
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:31,sad
2026-02-14 13:15:32,sad
2026-02-14 13:15:32,sad
2026-02-14 13:15:32,sad
2026-02-14 13:15:32,sad
2026-02-14 13:15:32,surprise
2026-02-14 13:15:32,surprise
2026-02-14 13:15:32,neutral
2026-02-14 13:15:32,neutral
2026-02-14 13:15:32,neutral
2026-02-14 13:15:32,neutral
2026-02-14 13:15:33,neutral
2026-02-14 13:15:33,neutral
2026-02-14 13:15:33,neutral
2026-02-14 13:15:33,neutral
2026-02-14 13:15:33,neutral
